date,SOL,HYPE
2024-04-19,8376128.0615014965,
2024-04-26,9271712.337894322,
2024-05-03,6937855.072857887,
2024-05-10,9431643.64111818,
2024-05-17,10914786.786758661,
2024-05-24,11047352.402597904,
2024-05-31,12531382.036015194,
2024-06-07,13457739.182236593,
2024-06-14,14206005.09672427,
2024-06-21,11525648.460451368,
2024-06-28,11185210.943328748,
2024-07-05,10102750.060865853,
2024-07-12,9697538.25776339,
2024-07-19,13260711.108189655,
2024-07-26,12923430.925337266,
2024-08-02,14045631.278488459,
2024-08-09,10024621.326988515,
2024-08-16,7720300.202991584,
2024-08-23,5362117.904638088,
2024-08-30,4954387.919062762,
2024-09-06,3970538.4173627617,
2024-09-13,4011160.481789088,
2024-09-20,4178832.3291570274,
2024-09-27,7106410.596646991,
2024-10-04,10218430.12769832,
2024-10-11,9306610.931051824,
2024-10-18,14310255.58768988,
2024-10-25,25988860.97850779,
2024-11-01,21329062.731962137,
2024-11-08,21541653.623044945,
2024-11-15,44810218.75669788,
2024-11-22,77851325.6392164,
2024-11-29,49496056.588779554,
2024-12-06,32302420.225364134,7379070.88
2024-12-13,30415982.1554851,10868373.07
2024-12-20,29493974.201863497,15383866.59
2024-12-27,21699555.73887125,13970880.38
2025-01-03,25717993.474657893,9976536.25
2025-01-10,34024787.53657795,13130847.879999999
2025-01-17,30330693.767540153,10887949.5
2025-01-24,115963297.1812692,20238862.82
2025-01-31,59691672.26795761,12856696.13
2025-02-07,29542831.377011534,15486348.35
2025-02-14,30956201.68336108,9388607.69
2025-02-21,15257778.364348961,9483281.255501714
2025-02-28,9424926.938903758,13780153.807839131
2025-03-07,8753289.465578256,14642073.918152917
2025-03-14,6487013.268157116,9806111.456111332
2025-03-21,6094449.298336177,7123012.740357344
2025-03-28,7586076.81756353,6700531.680249841
2025-04-04,6939419.980693823,9322169.46338005
2025-04-11,6974247.466106469,13187125.27081594
2025-04-18,9216487.484106233,8322551.757820866
2025-04-25,9688035.001122802,9988517.379944677
2025-05-02,11648109.364236522,8132510.387586746
2025-05-09,11173866.360101359,12224779.630651899
2025-05-16,16320688.714843199,15819922.42997319
2025-05-23,11912887.661952792,21620525.197762504
2025-05-30,8629831.77911678,19296889.37466067
2025-06-06,8007262.047864826,13351534.556055527
2025-06-13,7453541.721763324,17173199.192235176
2025-06-20,6503307.162583435,15683052.468011752
2025-06-27,6565788.623147873,17243059.413965542
2025-07-04,7597773.677203322,11677568.018905453
2025-07-11,8997147.17533029,15467931.7897653
2025-07-18,10643905.253350127,27908975.158040475
2025-07-25,10402471.118590161,26608461.925276477
2025-08-01,8808794.554137945,21854446.98464895
2025-08-08,8717405.44192358,17326381.729618303
2025-08-15,11452487.70705684,32235639.412130542
2025-08-22,9325173.082373058,25175476.518279757
2025-08-29,10005161.613453288,31694709.812982038
2025-09-05,8741992.416173564,18420966.212511223
2025-09-12,9117343.331189848,17968613.64387311
2025-09-19,11531334.860512786,20516741.737721417
2025-09-26,6782418.186432021,22342759.32034462
2025-10-03,7297358.150031965,18082520.051255327
2025-10-10,6979039.443882675,38957173.316469274
2025-10-17,5380328.44413054,23752350.304356262
2025-10-24,5499136.674882397,17035887.871729106
2025-10-31,6121473.869860431,17684049.742470372
2025-11-07,5713495.618830219,20312986.98488593
2025-11-14,5136344.81109793,18658778.47529211
2025-11-21,3977777.800433908,20596664.186460715
2025-11-28,3869335.3730546003,13156902.83800403
2025-12-05,4638731.11236053,12812092.254198238
2025-12-12,4626118.326696467,13086726.903013133
2025-12-19,3709052.1866260446,12098608.992828581
2025-12-26,3458277.324441206,7424419.891256724
2026-01-02,4031755.777458219,7769590.705626857
2026-01-09,5750352.832535946,12451845.3280952
2026-01-16,6988253.510770674,11445493.650262302
2026-01-23,6275290.158417521,11653901.440592686
2026-01-30,8684745.175705424,14973596.826100992
2026-02-06,1026060.1896386965,3601611.435575107
