date,SOL,BNB,HYPE,XMR
2024-09-20,0.0029409618,0.0010619694,,
2024-09-27,0.0030618823,0.0024057705,,
2024-10-04,0.0037014908,-0.0002109864999999,,
2024-10-11,0.0024952232,-0.0017227863,,
2024-10-18,0.0026833183,0.0008538553,,
2024-10-25,0.0042694891,0.0010599838,,
2024-11-01,0.0032696863,0.0024789077,,
2024-11-08,0.0055180404,0.0030871049999999,,
2024-11-15,0.0127379123,0.0109048397,,
2024-11-22,0.0087464326,0.0065246259,,
2024-11-29,0.0070531247,0.0085569637,,
2024-12-06,0.0120414245,0.0104788426,0.0065061828,
2024-12-13,0.0073145623,0.0076614021,0.0231737425,
2024-12-20,0.0030866594,0.0031850967,0.0284904547,
2024-12-27,0.0016556614,-0.0013826481,0.020378707,
2025-01-03,0.0026542941,0.0002298853,0.0127351516999999,
2025-01-10,0.0020536,0.0003146719,0.0090723084,
2025-01-17,0.0018120914,0.0007179944,0.0064785986999999,
2025-01-24,0.0027324912,0.0026980366,0.0196930467,
2025-01-31,0.0014985479,0.0018642674,0.0069926854,
2025-02-07,0.0002297433,-0.0008738934999999,0.007538698,
2025-02-14,0.0003007622,-0.000336164,0.0041818352,
2025-02-21,-0.0003110029999999,-0.0002256737999999,0.0051166328,
2025-02-28,0.0007828681,-0.0036107155,0.0062073498,
2025-03-07,-0.0006692918,-0.0025412377,0.0051996271,
2025-03-14,-0.0007585695999999,-0.0014590672,0.0043894343,
2025-03-21,-0.0007713688,-0.0030830052,0.0021280851,
2025-03-28,0.0015920068,-0.0045638274,0.0049539527,
2025-04-04,-0.001575857,-0.0027603989,0.0046978825,
2025-04-11,-0.0020438244,0.0003876994,0.0019686057,
2025-04-18,-0.0007713246,-0.0018498872,0.0014683914,
2025-04-25,-0.0015935208,-0.0015420632,0.0015343048,
2025-05-02,0.0008269258,-0.0022781545,0.0023894982,
2025-05-09,0.0027567422,-0.0003959124999999,0.0048501617,
2025-05-16,0.0035979854,0.0028440903,0.0063953501,
2025-05-23,0.0021552264,0.0009154047,0.0082870443,
2025-05-30,-0.0002653583999999,0.0002949404,0.0075627583,
2025-06-06,0.0017815306,6.642640000000005e-05,0.0046389254,
2025-06-13,0.001937903,-8.359249999999994e-05,0.0058073529,
2025-06-20,0.0004988398,0.0003815395,0.004013792,
2025-06-27,0.0006977789,7.710790000000007e-05,0.0014705715,
2025-07-04,0.00106447,-0.0001104087999999,0.0022720498,
2025-07-11,0.0015705106,0.0003356543,0.0034162212,
2025-07-18,0.0060627968,0.0053117154,0.0077296984,
2025-07-25,0.0057559129,0.006257974,0.0054254645,
2025-08-01,0.0034259663,0.0055547354,0.0055004094,
2025-08-08,0.0011001849,0.0012613236,0.0012086717,
2025-08-15,0.0035303593,0.0015496929,0.0026343164,
2025-08-22,0.001488939,0.0014773746,0.0035354356999999,
2025-08-29,0.0031863213,0.0022607892,0.0033287721,
2025-09-05,0.0019600876,0.001872318,0.002504074,
2025-09-12,0.0023600288,0.001460898,0.0015195788,
2025-09-19,0.0028518188999999,0.0022689849,0.0016860122,
2025-09-26,0.001429746,0.0020575979,0.0072520844,
2025-10-03,0.0013521208,0.0007490264,0.0032035291,
2025-10-10,-0.0010553917999999,0.0022367864,0.0026365684,
2025-10-17,-0.0056936526999999,0.0004965947,-0.0002358606,
2025-10-24,0.0002877149,-0.0012239428,0.0023798929,
2025-10-31,0.0019256948,-0.0003165799999999,0.0025296203,
2025-11-07,-0.0006330743,-0.0001050220999999,0.0022049759,
2025-11-14,-0.0004036993,0.0006941265,0.0021078775,
2025-11-21,9.831710000000003e-05,0.0014226284,0.0036417885,
2025-11-28,-0.0015528597,0.0014512401,0.0014069155,
2025-12-05,0.000972923,0.00108639,0.0022723695,
2025-12-12,0.000138932,0.0011038205,0.0024582664,
2025-12-19,0.0013077911,-9.72728e-05,0.0026443922,
2025-12-26,0.0013590009,0.0004955052,0.0020427726,
2026-01-02,0.001926318,0.0015610202,0.002200794,
2026-01-09,0.0014378991,0.0018647658,0.002188572,
2026-01-16,0.0014983043,0.0019550172,0.0020703053,0.0011108224
2026-01-23,0.0005883425,0.0008168672,0.0026331822,0.0067194286
2026-01-30,-0.0006454405,0.0003589499,0.0021035982,0.0038533233
2026-02-06,-0.0061392392,-0.0004019603999999,0.0019834436,0.0024156357
2026-02-13,-0.0036197345,-0.0009214897,0.0019969773,0.0024939342
2026-02-20,-0.0025720758,-9.847669999999998e-05,0.0013825957,0.0026724501
2026-02-27,-0.0015632334,0.0007426121,0.0001264292,0.0027131266
2026-03-06,-0.001109101,0.0012968819,0.0008224991,0.0022307109
2026-03-13,-0.0014169282,0.000935641,0.0002171423,0.001981169
2026-03-20,-0.0015609787,-0.0006665449999999,0.0017795243,0.0026470691
2026-03-27,-0.0027129979,-0.0001037376999999,0.0020918359,0.003911631
2026-04-03,-0.0020145524,0.0010308592,0.0017965319,0.0026847677
2026-04-10,-0.0001539820999999,0.0014215805,0.0007670783,0.005169046
2026-04-17,0.000103089,0.0018051199,0.0007881757,0.0054641361
2026-04-24,-6.712629999999997e-05,0.0020140118,0.0008597146,0.0072013331
2026-05-01,-0.0001326123,0.0013773793,0.001332288,0.0055084707
2026-05-08,0.0003914274,0.0015579907,0.0017941393,0.0107677496999999
