run_id,rebalance_day,bull_threshold,dropped_assets,sharpe,max_dd,ann_return,final_equity
59,Mon,57,SOL,0.9014665104340135,-0.2539674213015388,0.35961534144861074,3.8005522408620185
60,Tue,58,"XMR, HOOD",0.6023794223838187,-0.47381498337054007,0.3188515716530631,3.3295839185914113
61,Tue,63,"SOL, BNB",-0.10085024855610597,-0.43453098950685815,-0.04350910320333756,0.8242063632165024
62,Thu,57,"HYPE, XMR",1.1400569797968418,-0.38781468460128105,0.4673758526911216,5.294371440026291
63,Wed,60,"BNB, HOOD",0.07061047150653116,-0.5510065489386119,0.03362996765220583,1.154603582252009
64,Wed,58,COIN,1.0422253370757166,-0.3159672856657461,0.46845972121965285,5.3113887701491
65,Mon,62,"SOL, HOOD",0.5723003806990649,-0.38528152973983437,0.24793765134853585,2.6185995561737774
66,Thu,61,SOL,0.7884346515902263,-0.25396742130153876,0.27611195541819145,2.885419199824596
67,Mon,63,SOL,0.6076230608016718,-0.25396742130153876,0.20811107441936283,2.2743068994822195
68,Mon,62,XMR,0.8690709552115495,-0.30037800193959796,0.3352090864269597,3.5128247381530904
69,Mon,61,COIN,1.066945065033179,-0.3159672856657462,0.44122199610967083,4.896309163077191
70,Mon,61,XMR,0.9929471535373716,-0.30037800193959807,0.3934560614579914,4.229135100767068
71,Wed,59,CRCL,0.9662575084840186,-0.30869901576446024,0.3786448287666433,4.037212115255494
72,Wed,58,"XMR, BNB",0.6178857542038056,-0.4257980321996336,0.2955809346673588,3.08168489613613
73,Wed,60,"HOOD, SOL",0.6259758058711666,-0.3852815297398343,0.27946385839241694,2.918503728093809
74,Mon,60,SOL,0.8836114023789841,-0.25396742130153876,0.3139866650776175,3.2765330085812474
75,Tue,61,"BNB, HYPE",0.2467524094916941,-0.40019886671274724,0.09616591121772156,1.4904194195076965
76,Mon,58,"HYPE, BNB",0.4371924226271749,-0.38198687791791774,0.18378380684436046,2.0818675739320986
77,Thu,63,"COIN, CRCL",0.8403896475131049,-0.31596728566574617,0.3410625296073464,3.580247777517072
78,Mon,62,"CRCL, SOL",0.7350127872460033,-0.25396742130153876,0.2516633848013672,2.6527473005117534
79,Tue,59,SOL,0.7023649456542456,-0.26334087933300926,0.2753886621374708,2.8783180640616433
80,Tue,59,"COIN, BNB",0.5109994624752701,-0.385553048607811,0.219516835163585,2.369111160337588
