date,cumulative_etf_flow
2020-12-02,10222352905.923481
2020-12-03,10532242039.967777
2020-12-04,10476559746.717625
2020-12-05,10399163455.228792
2020-12-06,10475604408.778576
2020-12-07,10511390570.132233
2020-12-08,10456103586.663517
2020-12-09,10116775468.55549
2020-12-10,10283655628.649797
2020-12-11,10080902565.051722
2020-12-12,10356937251.904762
2020-12-13,10721325325.586514
2020-12-14,10837821274.611351
2020-12-15,11012737822.150702
2020-12-16,11394849558.944117
2020-12-17,12890121475.584595
2020-12-18,13072289228.572987
2020-12-19,13327822595.811268
2020-12-20,13504428619.004053
2020-12-21,13415193321.277554
2020-12-22,13584538157.68831
2020-12-23,14286848120.886063
2020-12-24,14107758270.408411
2020-12-25,14564165629.485569
2020-12-26,15296459272.472971
2020-12-27,16419175495.97681
2020-12-28,16364100043.759375
2020-12-29,16208643016.272358
2020-12-30,17059961074.875233
2020-12-31,17513770155.341225
2021-01-01,17718331471.08307
2021-01-02,18598612429.12114
2021-01-03,20272368386.03247
2021-01-04,19399505598.800144
2021-01-05,19497630008.658638
2021-01-06,21156571731.54365
2021-01-07,23063423581.366825
2021-01-08,24178931415.76752
2021-01-09,24506995415.650696
2021-01-10,24172985912.089375
2021-01-11,20934668637.179386
2021-01-12,21280567463.228195
2021-01-13,21064398324.856453
2021-01-14,23667328518.979626
2021-01-15,23075182853.235256
2021-01-16,22701347542.14385
2021-01-17,21948105048.164986
2021-01-18,22201207011.734703
2021-01-19,23267010494.476658
2021-01-20,22570044091.87449
2021-01-21,21358590729.752483
2021-01-22,20574915654.612934
2021-01-23,20943120623.549255
2021-01-24,20831310808.707386
2021-01-25,21567670655.42174
2021-01-26,20721520169.542385
2021-01-27,20172021418.255573
2021-01-28,20542960980.46832
2021-01-29,22666066652.82389
2021-01-30,22053524074.68967
2021-01-31,21622507999.427666
2021-02-01,21773916838.53745
2021-02-02,22369243288.474415
2021-02-03,23598344488.247196
2021-02-04,24245275539.824013
2021-02-05,24315397812.255215
2021-02-06,25709059160.443886
2021-02-07,25042931375.58783
2021-02-08,26554186464.317272
2021-02-09,30241022537.244785
2021-02-10,29705939216.10924
2021-02-11,29943097101.107826
2021-02-12,30964506141.03942
2021-02-13,30782976211.726604
2021-02-14,31544215749.05868
2021-02-15,31204611387.714497
2021-02-16,31865437118.289677
