date,price
2021-06-23,33702.617793714
2021-06-24,34675.449105303
2021-06-25,31943.136467863
2021-06-26,32023.973901775
2021-06-27,34607.293274083
2021-06-28,34556.842126945
2021-06-29,35968.99366797
2021-06-30,35171.48630485
2021-07-01,33677.566235923
2021-07-02,33950.786555181
2021-07-03,34729.89077801
2021-07-04,35394.213074081
2021-07-05,33928.134218371
2021-07-06,34149.989814774
2021-07-07,33932.254638315
2021-07-08,32933.578199292
2021-07-09,33971.297749758
2021-07-10,33704.538474405
2021-07-11,34299.938016517
2021-07-12,33262.654352446
2021-07-13,32676.38380096
2021-07-14,32878.501873571
2021-07-15,31726.03883391
2021-07-16,31399.653128682
2021-07-17,31588.671351017
2021-07-18,31919.393922555
2021-07-19,30928.211908849
2021-07-20,29971.903783612
2021-07-21,32383.781126969
2021-07-22,32409.499767175
2021-07-23,33455.551272723
2021-07-24,34213.599932177
2021-07-25,35456.124660767
2021-07-26,37281.918092177
2021-07-27,39076.593770632
2021-07-28,40031.198244448
2021-07-29,39977.756939228
2021-07-30,41936.261478677
2021-07-31,41754.166604353
2021-08-01,39914.829758488
2021-08-02,39278.766508104
2021-08-03,38368.354011979
2021-08-04,39751.584575099
2021-08-05,40825.38194045
2021-08-06,42802.137174741
2021-08-07,44647.577603001
2021-08-08,43753.217862646
2021-08-09,46311.001898577
2021-08-10,45639.514018907
2021-08-11,45652.060125069
2021-08-12,44495.20979328
2021-08-13,47717.270527665
2021-08-14,47088.853134515
2021-08-15,47025.003230113
2021-08-16,46031.757543626
2021-08-17,44534.45485422
2021-08-18,45015.465546085
2021-08-19,46745.03462297
2021-08-20,49195.878601896
2021-08-21,48933.689151312
2021-08-22,49250.544869718
2021-08-23,49518.577487907
2021-08-24,47940.607914961
2021-08-25,49002.703766275
2021-08-26,47229.070650876
2021-08-27,49083.103305862
2021-08-28,48936.537254142
2021-08-29,48907.270731062
2021-08-30,47124.254224694
2021-08-31,47335.420299206
2021-09-01,48823.055209649
2021-09-02,49338.784651833
2021-09-03,49934.528276288
2021-09-04,50013.029946946
2021-09-05,51696.206431318
2021-09-06,52739.800166346
2021-09-07,46995.16417096
2021-09-08,46085.028615782
2021-09-09,46518.941186602
2021-09-10,44802.606402497
2021-09-11,45196.488277558
2021-09-12,46195.218300829
2021-09-13,45139.833968733
2021-09-14,47135.431995627
2021-09-15,48186.532757047
2021-09-16,47879.473439921
2021-09-17,47228.658216233
2021-09-18,48266.627072791
2021-09-19,47371.039332365
2021-09-20,42932.946595954
2021-09-21,40386.623635289
2021-09-22,43587.223050585
2021-09-23,44980.898214811
2021-09-24,42752.168154507
2021-09-25,42856.855164225
2021-09-26,43336.861233243
2021-09-27,42247.355729006
2021-09-28,41010.375198365
2021-09-29,41587.667862323
2021-09-30,43859.326147241
2021-10-01,48181.8762726
2021-10-02,47777.762019063
2021-10-03,48282.971138574
2021-10-04,49260.232321131
2021-10-05,51668.994224356
2021-10-06,55415.005742029
2021-10-07,53894.595994521
2021-10-08,54010.937473744
2021-10-09,55125.46033768
2021-10-10,54711.869596643
2021-10-11,57572.510855597
2021-10-12,56335.035460512
2021-10-13,57487.985880422
2021-10-14,57452.431785035
2021-10-15,61809.02394427
2021-10-16,61165.635642115
2021-10-17,61583.774439613
2021-10-18,62017.972725179
2021-10-19,64517.648560423
2021-10-20,66237.517550294
2021-10-21,62541.086932935
2021-10-22,61029.270931821
2021-10-23,61572.140434222
2021-10-24,61173.166390723
2021-10-25,63228.213825842
2021-10-26,60604.188887947
2021-10-27,58641.001474195
2021-10-28,60767.555852067
2021-10-29,62283.198055874
2021-10-30,61837.257002979
2021-10-31,61471.868462763
2021-11-01,61121.831201065
2021-11-02,63247.208961278
2021-11-03,63130.942351715
2021-11-04,61601.74357205
2021-11-05,61247.384942178
2021-11-06,61661.35866372
2021-11-07,63153.230193019
2021-11-08,67617.015544862
2021-11-09,67145.374935371
2021-11-10,65061.054406963
2021-11-11,65005.645159567
2021-11-12,64432.047947345
2021-11-13,64660.335352673
2021-11-14,65648.977791102
2021-11-15,63933.835442599
2021-11-16,60448.562512586
2021-11-17,60603.655867387
2021-11-18,56987.32233855
2021-11-19,58459.255516675
2021-11-20,60082.911668417
2021-11-21,59139.779279527
2021-11-22,56386.856853152
2021-11-23,57748.793173789
2021-11-24,57198.183846295
2021-11-25,58897.846982998
2021-11-26,53827.792865035
2021-11-27,54533.403882427
2021-11-28,57237.66113709
2021-11-29,57848.77353713
2021-11-30,57011.280474242
2021-12-01,57169.371993811
2021-12-02,56508.268054023
2021-12-03,53785.967172379
2021-12-04,49161.990709575
2021-12-05,49268.469890539
2021-12-06,50461.57683654
2021-12-07,50647.663406358
2021-12-08,50530.458064593
2021-12-09,47885.871989417
2021-12-10,47303.564152174
2021-12-11,49242.302324071
2021-12-12,50051.078348675
2021-12-13,46696.304699467
2021-12-14,48410.564656309
2021-12-15,48936.862582442
2021-12-16,47694.530502252
2021-12-17,46328.696365445
2021-12-18,46970.057050727
2021-12-19,46807.048616426
2021-12-20,47117.00820421
2021-12-21,49145.217258499
2021-12-22,48755.895644045
2021-12-23,50900.614949516
2021-12-24,50888.721036787
2021-12-25,50663.487102132
2021-12-26,50852.860259541
2021-12-27,50774.067814743
2021-12-28,47725.148046319
2021-12-29,46506.994647679
2021-12-30,47191.86838984
2021-12-31,46319.651088053
2022-01-01,47816.077676408
2022-01-02,47387.212167697
2022-01-03,46531.140860531
2022-01-04,45938.024271724
2022-01-05,43647.147508068
2022-01-06,43216.458676934
2022-01-07,41527.197042645
2022-01-08,41756.662323978
2022-01-09,41862.360985652
2022-01-10,41869.859055592
2022-01-11,42777.211020482
2022-01-12,43981.877327174
2022-01-13,42608.41001195
2022-01-14,43120.854511081
2022-01-15,43226.650269809
2022-01-16,43119.79214308
2022-01-17,42298.341116872
2022-01-18,42395.458791573
2022-01-19,41749.551430986
2022-01-20,40707.68241431
2022-01-21,36508.799789831
2022-01-22,35180.43546283
2022-01-23,36306.409440465
2022-01-24,36774.00714224
2022-01-25,36988.928510667
2022-01-26,36870.440166931
2022-01-27,37276.839558175
2022-01-28,37852.579028033
2022-01-29,38232.178732177
2022-01-30,37983.151499406
2022-01-31,38555.534461212
2022-02-01,38835.694943222
2022-02-02,37000.982498642
2022-02-03,37101.351593781
2022-02-04,41673.839554309
2022-02-05,41493.690050911
2022-02-06,42475.543220951
2022-02-07,43910.929986443
2022-02-08,44184.447511676
2022-02-09,44383.888055417
2022-02-10,43628.139532352
2022-02-11,42445.388767938
2022-02-12,42254.738123237
2022-02-13,42247.835953268
2022-02-14,42634.573783663
2022-02-15,44574.320570998
2022-02-16,44063.281982796
2022-02-17,40562.986949828
2022-02-18,40073.49536237
2022-02-19,40192.759121431
2022-02-20,38514.008536225
2022-02-21,37059.979402288
2022-02-22,38337.203855435
2022-02-23,37372.292680348
2022-02-24,38363.34548857
2022-02-25,39316.162075786
2022-02-26,39090.202153609
2022-02-27,37803.590160449
2022-02-28,43225.404677436
2022-03-01,44459.591627743
2022-03-02,43980.707382091
2022-03-03,42491.978393359
2022-03-04,39200.299735574
2022-03-05,39463.146811491
2022-03-06,38442.991745887
2022-03-07,38076.49382252
2022-03-08,38732.937013026
2022-03-09,41986.034446076
2022-03-10,39468.354773002
2022-03-11,38775.175588407
2022-03-12,38903.693548006
2022-03-13,37852.525141063
2022-03-14,39669.423812005
2022-03-15,39331.846540595
2022-03-16,41165.635061403
2022-03-17,41001.70957802
2022-03-18,41837.413137976
2022-03-19,42201.939920688
2022-03-20,41283.259001046
2022-03-21,41061.81589385
2022-03-22,42401.895597489
2022-03-23,42802.15471017
2022-03-24,43936.096234541
2022-03-25,44331.777957064
2022-03-26,44510.844217621
2022-03-27,46715.11761851
2022-03-28,46994.879118357
2022-03-29,47459.261237539
2022-03-30,47063.365849964
2022-03-31,45528.407153138
2022-04-01,46270.200705854
2022-04-02,45842.144763174
2022-04-03,46434.562982662
2022-04-04,46622.635713091
2022-04-05,45635.454381267
2022-04-06,43198.775269365
2022-04-07,43515.150322798
2022-04-08,42315.709724218
2022-04-09,42796.39747811
2022-04-10,42274.907370256
2022-04-11,39603.965159284
2022-04-12,40205.677940732
2022-04-13,41205.168719041
2022-04-14,39959.457069034
2022-04-15,40586.597309387
2022-04-16,40450.37930544
2022-04-17,39739.119256222
2022-04-18,40833.537965034
2022-04-19,41498.122446698
2022-04-20,41397.22047728
2022-04-21,40528.54148676
2022-04-22,39756.848993471
2022-04-23,39561.780190756
2022-04-24,39469.049861981
2022-04-25,40488.877917622
2022-04-26,38134.215450689
2022-04-27,39237.949317471
2022-04-28,39741.76664581
2022-04-29,38650.550138093
2022-04-30,37820.611765292
2022-05-01,38537.654766695
2022-05-02,38561.565399024
2022-05-03,37758.496107734
2022-05-04,39699.024041254
2022-05-05,36612.229548803
2022-05-06,36116.394294983
2022-05-07,35573.310198835
2022-05-08,34070.31219758
2022-05-09,30269.586956629
2022-05-10,31026.933868362
2022-05-11,28913.488363654
2022-05-12,29126.11597686
2022-05-13,29310.728959858
2022-05-14,30189.333177006
2022-05-15,31319.30911113
2022-05-16,29923.60699364
2022-05-17,30502.193280277
2022-05-18,28772.200501113
2022-05-19,30382.406242196
2022-05-20,29256.813374416
2022-05-21,29491.507947761
