date,btc_score,regime,action
2021-09-06,33.669241171625956,BEAR,EXIT
2021-09-13,40.38524455334024,NEUTRAL,HOLD
2021-09-20,32.98315528908611,BEAR,EXIT
2021-09-27,30.720997611369437,BEAR,EXIT
2021-10-04,29.579176739042623,BEAR,EXIT
2021-10-11,32.12199375544204,BEAR,EXIT
2021-10-18,36.52826788695253,NEUTRAL,HOLD
2021-10-25,39.318572472123265,NEUTRAL,HOLD
2021-11-01,43.00800946871385,NEUTRAL,HOLD
2021-11-08,39.191154137558115,NEUTRAL,HOLD
2021-11-15,43.733440932899704,NEUTRAL,HOLD
2021-11-22,41.3692033968685,NEUTRAL,HOLD
2021-11-29,34.78577941228135,BEAR,EXIT
2021-12-06,36.008406042433506,NEUTRAL,HOLD
2021-12-13,33.352863632159696,BEAR,EXIT
2021-12-20,28.2581107201171,BEAR,EXIT
2021-12-27,28.319894525198478,BEAR,EXIT
2022-01-03,29.615676506412502,BEAR,EXIT
2022-01-10,24.165018681778687,BEAR,EXIT
2022-01-17,19.321645515072664,BEAR,EXIT
2022-01-24,20.76726415966326,BEAR,EXIT
2022-01-31,15.439625941412645,BEAR,EXIT
2022-02-07,17.76348861668837,BEAR,EXIT
2022-02-14,21.813898462092972,BEAR,EXIT
2022-02-21,19.826187386963365,BEAR,EXIT
2022-02-28,15.810663962552145,BEAR,EXIT
2022-03-07,20.573213660143082,BEAR,EXIT
2022-03-14,15.099363773156895,BEAR,EXIT
2022-03-21,16.342473600945084,BEAR,EXIT
2022-03-28,16.234907332595157,BEAR,EXIT
2022-04-04,20.156910363019627,BEAR,EXIT
2022-04-11,19.45178259178752,BEAR,EXIT
2022-04-18,13.318922453528799,BEAR,EXIT
2022-04-25,12.776601365309517,BEAR,EXIT
2022-05-02,13.529675725023209,BEAR,EXIT
2022-05-09,10.618157795032271,BEAR,EXIT
2022-05-16,6.01194110787142,BEAR,EXIT
2022-05-23,5.83150069192435,BEAR,EXIT
2022-05-30,5.227710711653441,BEAR,EXIT
2022-06-06,6.126541457356751,BEAR,EXIT
2022-06-13,5.141046249998461,BEAR,EXIT
2022-06-20,2.4080649600435886,BEAR,EXIT
2022-06-27,3.40142756948844,BEAR,EXIT
2022-07-04,5.126238320923507,BEAR,EXIT
2022-07-11,4.915342957880446,BEAR,EXIT
2022-07-18,5.15414168952792,BEAR,EXIT
2022-07-25,10.616045801074733,BEAR,EXIT
2022-08-01,9.401770032761403,BEAR,EXIT
2022-08-08,11.404014429050774,BEAR,EXIT
2022-08-15,12.645058164647011,BEAR,EXIT
2022-08-22,12.611227155949102,BEAR,EXIT
2022-08-29,10.375328113264981,BEAR,EXIT
2022-09-05,9.426269021692018,BEAR,EXIT
2022-09-12,9.468047602322795,BEAR,EXIT
2022-09-19,9.583194270009887,BEAR,EXIT
2022-09-26,5.934456633153752,BEAR,EXIT
2022-10-03,6.370494386572638,BEAR,EXIT
2022-10-10,5.301792385656679,BEAR,EXIT
2022-10-17,4.7308807315539925,BEAR,EXIT
2022-10-24,5.977700393099617,BEAR,EXIT
2022-10-31,6.151246847346632,BEAR,EXIT
2022-11-07,10.165768804113771,BEAR,EXIT
2022-11-14,9.673966942264837,BEAR,EXIT
2022-11-21,6.832656739229659,BEAR,EXIT
2022-11-28,5.67991828769903,BEAR,EXIT
2022-12-05,4.81025861219095,BEAR,EXIT
2022-12-12,6.188565449306025,BEAR,EXIT
2022-12-19,6.253923111602627,BEAR,EXIT
2022-12-26,5.325413007769663,BEAR,EXIT
2023-01-02,5.819391804853962,BEAR,EXIT
2023-01-09,6.646548091910418,BEAR,EXIT
2023-01-16,8.1119174691785,BEAR,EXIT
2023-01-23,11.75213961452956,BEAR,EXIT
2023-01-30,13.206856983378952,BEAR,EXIT
2023-02-06,12.042593786226384,BEAR,EXIT
2023-02-13,12.66332809378277,BEAR,EXIT
2023-02-20,12.450957087376121,BEAR,EXIT
2023-02-27,15.28320531796056,BEAR,EXIT
2023-03-06,15.440910789117188,BEAR,EXIT
2023-03-13,13.52749989395165,BEAR,EXIT
2023-03-20,16.213067650239324,BEAR,EXIT
2023-03-27,19.693697714694544,BEAR,EXIT
2023-04-03,18.447897014512577,BEAR,EXIT
2023-04-10,18.87613467483747,BEAR,EXIT
2023-04-17,20.26000225645619,BEAR,EXIT
2023-04-24,28.04690822245719,BEAR,EXIT
2023-05-01,23.905906228896825,BEAR,EXIT
2023-05-08,29.05811358067318,BEAR,EXIT
2023-05-15,32.29701544846305,BEAR,EXIT
2023-05-22,29.922835642968177,BEAR,EXIT
2023-05-29,30.48071667406522,BEAR,EXIT
2023-06-05,35.171457801707604,NEUTRAL,HOLD
2023-06-12,29.423937364214602,BEAR,EXIT
2023-06-19,31.26038605789123,BEAR,EXIT
2023-06-26,30.74574431717216,BEAR,EXIT
2023-07-03,35.91882629637321,NEUTRAL,HOLD
2023-07-10,35.25629013112834,NEUTRAL,HOLD
2023-07-17,36.44564157336202,NEUTRAL,HOLD
2023-07-24,34.34892560712601,BEAR,EXIT
2023-07-31,35.12737169755587,NEUTRAL,HOLD
2023-08-07,34.168189701613436,BEAR,EXIT
2023-08-14,34.38864881522892,BEAR,EXIT
2023-08-21,37.47164001855394,NEUTRAL,HOLD
2023-08-28,31.61897171686279,BEAR,EXIT
2023-09-04,26.25546655465127,BEAR,EXIT
2023-09-11,30.083541194192893,BEAR,EXIT
2023-09-18,29.255524618294594,BEAR,EXIT
2023-09-25,32.00074811857387,BEAR,EXIT
2023-10-02,29.62481840992112,BEAR,EXIT
2023-10-09,32.54648639148357,BEAR,EXIT
2023-10-16,31.920313335532835,BEAR,EXIT
2023-10-23,31.396973453081515,BEAR,EXIT
2023-10-30,40.67529423516187,NEUTRAL,HOLD
2023-11-06,41.60240573098357,NEUTRAL,HOLD
2023-11-13,40.658544525829114,NEUTRAL,HOLD
2023-11-20,45.30280305736932,NEUTRAL,HOLD
2023-11-27,58.06229176620196,NEUTRAL,HOLD
2023-12-04,52.17727347330518,NEUTRAL,HOLD
2023-12-11,71.47076893567531,BULL,DEPLOY_ALTS
2023-12-18,66.65418560095955,BULL,DEPLOY_ALTS
2023-12-25,70.79902400110541,BULL,DEPLOY_ALTS
2024-01-01,63.89970572028989,BULL,DEPLOY_ALTS
2024-01-08,68.48787406845759,BULL,DEPLOY_ALTS
2024-01-15,68.73879359493985,BULL,DEPLOY_ALTS
2024-01-22,62.037623572011285,BULL,DEPLOY_ALTS
2024-01-29,59.206363906864404,NEUTRAL,HOLD
2024-02-05,63.93625675743745,BULL,DEPLOY_ALTS
2024-02-12,61.32142805590844,BULL,DEPLOY_ALTS
2024-02-19,73.46275895570382,BULL,DEPLOY_ALTS
2024-02-26,70.41032828092699,BULL,DEPLOY_ALTS
2024-03-04,74.97977346213992,BULL,DEPLOY_ALTS
2024-03-11,86.0719238759397,BULL,DEPLOY_ALTS
2024-03-18,94.63979839560943,BULL,DEPLOY_ALTS
2024-03-25,80.58486989385342,BULL,DEPLOY_ALTS
2024-04-01,77.9150416308875,BULL,DEPLOY_ALTS
2024-04-08,77.8206122214439,BULL,DEPLOY_ALTS
2024-04-15,80.09637698695244,BULL,DEPLOY_ALTS
2024-04-22,68.64261696712848,BULL,DEPLOY_ALTS
2024-04-29,64.98791749490263,BULL,DEPLOY_ALTS
2024-05-06,57.41059828559254,NEUTRAL,HOLD
2024-05-13,52.831356850684294,NEUTRAL,HOLD
2024-05-20,52.810411735019336,NEUTRAL,HOLD
2024-05-27,60.09831179251147,BULL,DEPLOY_ALTS
2024-06-03,55.10649572226485,NEUTRAL,HOLD
2024-06-10,55.77527345406645,NEUTRAL,HOLD
2024-06-17,55.840842687744846,NEUTRAL,HOLD
2024-06-24,51.236407573618806,NEUTRAL,HOLD
2024-07-01,44.91829880960384,NEUTRAL,HOLD
2024-07-08,45.78007168971772,NEUTRAL,HOLD
2024-07-15,41.04066547487144,NEUTRAL,HOLD
2024-07-22,48.908742954024916,NEUTRAL,HOLD
2024-07-29,52.05800641261247,NEUTRAL,HOLD
2024-08-05,50.59838291505157,NEUTRAL,HOLD
2024-08-12,36.12350849527744,NEUTRAL,HOLD
2024-08-19,41.53775529921754,NEUTRAL,HOLD
2024-08-26,41.859669473026834,NEUTRAL,HOLD
2024-09-02,46.931079459897035,NEUTRAL,HOLD
2024-09-09,45.38299050660633,NEUTRAL,HOLD
2024-09-16,42.41010986748172,NEUTRAL,HOLD
2024-09-23,40.11055808910906,NEUTRAL,HOLD
2024-09-30,46.4639264815166,NEUTRAL,HOLD
2024-10-07,45.7239063020569,NEUTRAL,HOLD
2024-10-14,44.59183601624182,NEUTRAL,HOLD
2024-10-21,46.83849613314148,NEUTRAL,HOLD
2024-10-28,47.79816556095272,NEUTRAL,HOLD
2024-11-04,47.520036888415866,NEUTRAL,HOLD
2024-11-11,45.659610993749894,NEUTRAL,HOLD
2024-11-18,66.74236638572039,BULL,DEPLOY_ALTS
2024-11-25,70.70237516040821,BULL,DEPLOY_ALTS
2024-12-02,72.56036714122958,BULL,DEPLOY_ALTS
2024-12-09,72.24768347830614,BULL,DEPLOY_ALTS
2024-12-16,71.07926546393675,BULL,DEPLOY_ALTS
2024-12-23,76.53246099327119,BULL,DEPLOY_ALTS
2024-12-30,61.2082786487461,BULL,DEPLOY_ALTS
2025-01-06,57.56360645335117,NEUTRAL,HOLD
2025-01-13,59.39863360589226,NEUTRAL,HOLD
2025-01-20,49.057456399365726,NEUTRAL,HOLD
2025-01-27,59.0650828871297,NEUTRAL,HOLD
2025-02-03,58.828910636583295,NEUTRAL,HOLD
2025-02-10,56.92310864477954,NEUTRAL,HOLD
2025-02-17,55.419116435758475,NEUTRAL,HOLD
2025-02-24,55.34135114122987,NEUTRAL,HOLD
2025-03-03,48.64832224196849,NEUTRAL,HOLD
2025-03-10,43.76728318333574,NEUTRAL,HOLD
2025-03-17,36.21702283952496,NEUTRAL,HOLD
2025-03-24,38.434562622512566,NEUTRAL,HOLD
2025-03-31,43.420218409210406,NEUTRAL,HOLD
2025-04-07,39.12158130781838,NEUTRAL,HOLD
2025-04-14,33.34112760118994,BEAR,EXIT
2025-04-21,39.962601801211754,NEUTRAL,HOLD
2025-04-28,39.65724915098866,NEUTRAL,HOLD
2025-05-05,49.740398257547724,NEUTRAL,HOLD
2025-05-12,52.32117340484413,NEUTRAL,HOLD
2025-05-19,60.285252180050556,BULL,DEPLOY_ALTS
2025-05-26,61.392694477931514,BULL,DEPLOY_ALTS
2025-06-02,64.39290879511393,BULL,DEPLOY_ALTS
2025-06-09,59.34378684048638,NEUTRAL,HOLD
2025-06-16,60.9849621677607,BULL,DEPLOY_ALTS
2025-06-23,58.07368284991669,NEUTRAL,HOLD
2025-06-30,50.152743443746395,NEUTRAL,HOLD
2025-07-07,53.92138972982151,NEUTRAL,HOLD
2025-07-14,54.099235224086115,NEUTRAL,HOLD
2025-07-21,63.60589236758092,BULL,DEPLOY_ALTS
2025-07-28,66.66067869419018,BULL,DEPLOY_ALTS
2025-08-04,66.09907888797491,BULL,DEPLOY_ALTS
2025-08-11,65.34195356193857,BULL,DEPLOY_ALTS
2025-08-18,66.15133460602706,BULL,DEPLOY_ALTS
2025-08-25,63.084713501397616,BULL,DEPLOY_ALTS
2025-09-01,55.19299461077534,NEUTRAL,HOLD
2025-09-08,57.40136813535705,NEUTRAL,HOLD
2025-09-15,55.6939683806884,NEUTRAL,HOLD
2025-09-22,55.70392404286354,NEUTRAL,HOLD
2025-09-29,50.61559439630098,NEUTRAL,HOLD
2025-10-06,46.42768539791473,NEUTRAL,HOLD
2025-10-13,54.45055789415481,NEUTRAL,HOLD
2025-10-20,46.35736704272321,NEUTRAL,HOLD
2025-10-27,39.50502753115037,NEUTRAL,HOLD
2025-11-03,42.22314435822711,NEUTRAL,HOLD
2025-11-10,31.161250310149445,BEAR,EXIT
2025-11-17,31.323085405300496,BEAR,EXIT
2025-11-24,13.637479622293977,BEAR,EXIT
2025-12-01,15.13458709452936,BEAR,EXIT
2025-12-08,12.773960299421411,BEAR,EXIT
2025-12-15,19.35896036517616,BEAR,EXIT
2025-12-22,15.284812452569348,BEAR,EXIT
2025-12-29,17.76931914212887,BEAR,EXIT
2026-01-05,15.966744406375138,BEAR,EXIT
2026-01-12,34.487467306061816,BEAR,EXIT
2026-01-19,17.15100797400898,BEAR,EXIT
2026-01-26,19.75381416338113,BEAR,EXIT
2026-02-02,12.529395549244263,BEAR,EXIT
2026-02-09,5.709390195739559,BEAR,EXIT
2026-02-16,17.101172716292353,BEAR,EXIT
2026-02-23,15.930061686301581,BEAR,EXIT
2026-03-02,12.259999411392776,BEAR,EXIT
2026-03-09,16.64875078920432,BEAR,EXIT
2026-03-16,16.89770073335798,BEAR,EXIT
2026-03-23,22.56732855206664,BEAR,EXIT
2026-03-30,21.229416087820514,BEAR,EXIT
2026-04-06,17.122472016097564,BEAR,EXIT
2026-04-13,18.405310152078073,BEAR,EXIT
2026-04-20,24.12503094371921,BEAR,EXIT
2026-04-27,25.39981584264547,BEAR,EXIT
2026-05-04,27.960007575952908,BEAR,EXIT
