date,input_price,input_mvrv_ratio,input_miner_revenue,input_etf_flows,input_btc_mc,input_eth_mc,input_stablecoin_supply,input_fed_balance_sheet,raw_mvrv_z,raw_puell,raw_price_200w_ratio,raw_stable_30d,raw_dom_proxy_30d_roc,raw_fed_bs_30d_roc,norm_mvrv_z,norm_puell,norm_price_200w_ratio,norm_stable_30d,norm_dom_proxy_30d_roc,btc_score,btc_score_lagged,regime,action
2018-03-03,11356.041601672,2.11464502,25982212.085017767,,191899353575.24,82708301723.5519,60109969.98,4393401.0,,,,-6.654471418343633e-10,0.15368189659602827,-0.005843558542504623,,,,,,,,NA,NA
2018-03-04,11286.676289169,2.11715719,21258069.485756055,,190747933122.937,82676499793.8576,60109969.97,4393401.0,,,,-9.981705462180912e-10,0.11541664942421814,-0.005843558542504623,,,,,,,,NA,NA
2018-03-05,11526.420930291,2.124487,21981246.41914745,,194821583687.435,82340571913.2882,60109969.95999999,4393401.0,,,,-1.1645323594322576e-09,0.12847490171428744,-0.005843558542504623,,,,,,,,NA,NA
2018-03-06,10727.716249205,1.96727059,21318547.18289345,,181342656441.092,79250313700.0067,60109969.96999999,4393401.0,,,,-9.981706572403937e-10,0.09990775215897041,-0.005843558542504623,,,,,,,,NA,NA
2018-03-07,9999.682486047,1.82720774,19972742.88140936,,169056252057.669,73790376421.9669,60109969.98,4396097.0,,,,-6.654471418343633e-10,0.09820524191486624,-0.00523349682353802,,,,,,,,NA,NA
2018-03-08,9420.854889586,1.72480924,19412903.75421769,,159289105130.238,68568491974.3163,60109969.95,4396097.0,,,,-1.1645322484099552e-09,0.11105147333979448,-0.00523349682353802,,,,,,,,NA,NA
2018-03-09,9276.33759031,1.72471755,17252558.81839431,,156862284242.875,69730146644.1958,60109969.96,4396097.0,,,,-1.3308939506018191e-09,0.08780838873465369,-0.0055755308211624666,,,,,,,,NA,NA
2018-03-10,8890.865803996,1.6363096,15917078.984226197,,150359761907.831,67198010840.6789,60109969.97,4396097.0,,,,-6.654470308120608e-10,0.0845829893694583,-0.0055755308211624666,,,,,,,,NA,NA
2018-03-11,9512.456112861,1.76958222,18569364.353072383,,160888688653.477,69985307146.2771,60109969.95999999,4396097.0,,,,-8.318089550485297e-10,0.10295263042516445,-0.0055755308211624666,,,,,,,,NA,NA
2018-03-12,9232.7058798,1.70331347,18889819.25759333,,156177221215.631,68245214878.5009,60109969.95,4396097.0,,,,-9.981704351957887e-10,0.09710137614209824,-0.0055755308211624666,,,,,,,,NA,NA
2018-03-13,9216.530976268,1.70702426,18761873.572918683,,155921695042.49,67211282137.8953,60109969.95,4396097.0,,,,-8.318086219816223e-10,0.10335387424380693,-0.0055755308211624666,,,,,,,,NA,NA
2018-03-14,8307.223386266,1.53691592,15260704.694684982,,140553335048.276,59738408621.9634,60109969.940000005,4407258.0,,,,-1.1645321373876527e-09,0.09491320529512914,-0.003050843240223089,,,,,,,,NA,NA
2018-03-15,8359.365283341,1.54749227,15353196.885733906,,141449655895.935,60148621435.9676,60109969.94,4407258.0,,,,-9.981705462180912e-10,0.09912076155197558,-0.003050843240223089,,,,,,,,NA,NA
2018-03-16,8520.008159172,1.56958433,16866649.238853697,,144184737078.277,59712695037.7092,60109969.95,4407258.0,,,,-8.318087330039248e-10,0.10440715363647701,-0.006224544027628398,,,,,,,,NA,NA
2018-03-17,8063.409792123,1.47896206,15191588.363803077,,136472702736.86,55031620530.2365,60109969.95,4407258.0,,,,-4.990851065755919e-10,0.0913162517386854,-0.006224544027628398,,,,,,,,NA,NA
2018-03-18,8217.842199961,1.5372127,15719359.24126189,,139102798580.577,52938616457.5708,60109969.95,4407258.0,,,,-6.654470308120608e-10,0.11028809141120544,-0.006224544027628398,,,,,,,,NA,NA
2018-03-19,8640.521430243,1.60262445,17006971.1269482,,146274523240.434,54560292401.5758,60109969.95,4407258.0,,,,-6.654469197897583e-10,0.09776964981351877,-0.006224544027628398,,,,,,,,NA,NA
2018-03-20,8926.8204962,1.66984764,14451442.947749993,,151135311240.403,54486305509.9885,60109969.95,4407258.0,,,,-4.990851065755919e-10,0.10510695316102536,-0.006224544027628398,,,,,,,,NA,NA
2018-03-21,8970.317906279,1.66685407,17321910.596427638,,151888445786.249,55179662649.9495,60109969.95,4401222.0,,,,-4.990851065755919e-10,0.08865542915152846,-0.007585578179077901,,,,,,,,NA,NA
2018-03-22,8736.385769098,1.6366036,15858504.009965334,,147943048662.132,52885690223.3192,60109969.95,4401222.0,,,,-3.327235154060304e-10,0.07158302727324428,-0.007585578179077901,,,,,,,,NA,NA
2018-03-23,8824.592831779,1.64830412,14902598.858944425,,149451318665.614,52936241666.4976,60109969.95,4401222.0,,,,-4.990851065755919e-10,0.0854579326778957,-0.0023660028198002614,,,,,,,,NA,NA
2018-03-24,8621.150792258,1.61787156,16998883.29689151,,146022681302.796,51114768972.6982,60109969.94,4401222.0,,,,-6.654470308120608e-10,0.08816138483505243,-0.0023660028198002614,,,,,,,,NA,NA
2018-03-25,8478.638195589,1.58785272,14479237.312338047,,143623891714.181,51114766847.0115,60109969.940000005,4401222.0,,,,-4.990849955532894e-10,0.09612974542524766,-0.0023660028198002614,,,,,,,,NA,NA
2018-03-26,8186.196062814,1.54056226,15570022.672245573,,138684803358.943,47991343456.1895,60109969.95,4401222.0,,,,-4.990851065755919e-10,0.10904271411707023,-0.0023660028198002614,,,,,,,,NA,NA
2018-03-27,7836.763044253,1.47972397,15105441.339439334,,132779843611.386,44211929435.1148,60109969.95,4401222.0,,,,-6.654471418343633e-10,0.12782406117084677,-0.0023660028198002614,,,,,,,,NA,NA
2018-03-28,7930.779540928,1.49995286,13574264.633639358,,134386559681.906,43718505250.0262,60109969.96,4392198.0,,,,-3.3272340438372794e-10,0.11918947226967047,-0.004411491366061782,,,,,,,,NA,NA
2018-03-29,7126.895192567,1.34902071,13734961.172073795,,120777974799.763,37953505528.3588,60109969.95,4392198.0,,,,-4.990851065755919e-10,0.118815862270919,-0.004411491366061782,,,,,,,,NA,NA
2018-03-30,6897.268577869,1.30076662,14144674.714166813,,116900853303.246,38946452754.2313,60109969.94,4392198.0,,,,-4.990853286201968e-10,0.10572195887746805,-0.0002738197583147528,,,,,,,,NA,NA
2018-03-31,6975.275314021,1.31875342,11300465.500504099,,118234055446.543,39000868214.2785,60109969.940000005,4392198.0,,,,-4.990851065755919e-10,0.09539594233267668,-0.0002738197583147528,,,,,,,,NA,NA
2018-04-01,6836.572327297,1.29804435,13969043.847940553,,115896903503.058,37365640069.8215,60109969.940000005,4392198.0,,,,-6.654469197897583e-10,0.09211404703418924,-0.0002738197583147528,,,,,,,,NA,NA
2018-04-02,7080.417232313,1.34269917,13958281.31062205,,120044225923.527,37935548084.0427,60109969.94,4392198.0,,,,-6.654470308120608e-10,0.08737392748623529,-0.0002738197583147528,,,,,,,,NA,NA
2018-04-03,7464.356094067,1.41752889,15396199.574134253,,126568883854.608,40989129292.8868,60109969.93,4392198.0,,,,-6.654470308120608e-10,0.08277751242238374,-0.0002738197583147528,,,,,,,,NA,NA
2018-04-04,6845.315978269,1.29795987,12748161.964139992,,116084750821.373,37503095784.2419,60109969.94,4386104.0,,,,-3.3272340438372794e-10,0.07526419142289176,-0.0016609000635271487,,,,,,,,NA,NA
2018-04-05,6855.422304607,1.30312944,13535777.248126386,,116269847527.264,37923466118.6402,60109969.93,4386104.0,,,,-6.654469197897583e-10,0.08358824198540082,-0.0016609000635271487,,,,,,,,NA,NA
2018-04-06,6628.754455856,1.26963243,11663501.500781596,,112436767361.372,36495759521.3981,60109969.93,4386104.0,,,,-8.318087330039248e-10,0.08447522420340703,-0.0022731527534538554,,,,,,,,NA,NA
2018-04-07,6884.47723506,1.32349168,15677094.698757444,,116789559212.8,37838661360.0025,60109969.93,4386104.0,,,,-3.327235154060304e-10,0.08042021629206064,-0.0022731527534538554,,,,,,,,NA,NA
2018-04-08,6984.808965974,1.34758367,14203730.168662604,,118505840498.729,39182417250.9241,60109969.93,4386104.0,,,,-4.990853286201968e-10,0.0855935733082176,-0.0022731527534538554,,,,,,,,NA,NA
2018-04-09,6778.491570077,1.29733763,12607479.671708316,,115017783885.652,39367328706.2102,60109969.93,4386104.0,,,,-6.654470308120608e-10,0.07795976588367437,-0.0022731527534538554,,,,,,,,NA,NA
2018-04-10,6829.316503795,1.3143587,14157094.328210874,,115885988821.254,40749602575.9284,60109969.94,4386104.0,,,,-3.3272340438372794e-10,0.06167107979323583,-0.0022731527534538554,,,,,,,,NA,NA
2018-04-11,6925.101995477,1.33919481,14094338.291738244,,117533696704.979,42209337332.354,60109969.94,4383684.0,,,,-1.6636181321416643e-10,0.05727764112711209,-0.0028236410616053753,,,,,,,,NA,NA
2018-04-12,7836.396993999,1.52215846,15364895.750495035,,133015394395.993,48265439663.5507,60109969.93,4383684.0,,,,-3.327235154060304e-10,0.05004334916681863,-0.0028236410616053753,,,,,,,,NA,NA
2018-04-13,7845.752840106,1.52369622,16467163.181444487,,133189892501.28,48313044128.3286,60109969.919999994,4383684.0,,,,-3.3272373745063533e-10,0.04570577072050064,-0.005348904012426825,,,,,,,,NA,NA
2018-04-14,7897.719930858,1.54037773,13712490.434401404,,134086501771.117,48928578121.7947,60109969.919999994,4383684.0,,,,-3.327235154060304e-10,0.04419859887933231,-0.005348904012426825,,,,,,,,NA,NA
2018-04-15,8258.067083698,1.60406337,17026524.102105267,,140220533919.445,51944970387.7948,60109969.91,4383684.0,,,,-6.654471418343633e-10,0.031878712078462934,-0.005348904012426825,,,,,,,,NA,NA
2018-04-16,8030.999261953,1.54777167,14361278.876076225,,136379313438.764,50134949937.0236,60109969.91,4383684.0,,,,-6.654471418343633e-10,0.026051691452233072,-0.005348904012426825,,,,,,,,NA,NA
2018-04-17,7873.635510103,1.51791712,16149905.739571132,,133722872890.265,49290625426.7603,60109969.92,4383684.0,,,,-4.990853286201968e-10,0.008745488718544303,-0.005348904012426825,,,,,,,,NA,NA
